   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      189    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
  131/130    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      130    0.000    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      183    0.002    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       13    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      248    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      130    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      124    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      372    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      124    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      908    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      130    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      908    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    124/7    0.001    0.000    1.699    0.243 <frozen importlib._bootstrap_external>:722(exec_module)
      476    0.000    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      124    0.002    0.000    0.166    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      169    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:890(__eq__)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      124    0.063    0.001    0.123    0.001 <frozen importlib._bootstrap_external>:914(get_data)
      157    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
